EC	SRR6915103_500K_merged_Abundance.RPKs	SRR6915104_500K_merged_Abundance.RPKs	SRR6915105_500K_merged_Abundance.RPKs	SRR6915106_500K_merged_Abundance.RPKs	SRR6915107_500K_merged_Abundance.RPKs	SRR6915108_500K_merged_Abundance.RPKs	SRR6915109_500K_merged_Abundance.RPKs	SRR6915110_500K_merged_Abundance.RPKs	SRR6915111_500K_merged_Abundance.RPKs	SRR6915112_500K_merged_Abundance.RPKs	SRR6915114_500K_merged_Abundance.RPKs	SRR6915117_500K_merged_Abundance.RPKs	SRR6915125_500K_merged_Abundance.RPKs	SRR6915126_500K_merged_Abundance.RPKs	SRR6915127_500K_merged_Abundance.RPKs	SRR6915128_500K_merged_Abundance.RPKs	SRR6915129_500K_merged_Abundance.RPKs	SRR6915130_500K_merged_Abundance.RPKs	SRR6915131_500K_merged_Abundance.RPKs	SRR6915132_500K_merged_Abundance.RPKs	SRR6915133_500K_merged_Abundance.RPKs	SRR6915134_500K_merged_Abundance.RPKs	SRR6915135_500K_merged_Abundance.RPKs	SRR6915136_500K_merged_Abundance.RPKs	SRR6915147_500K_merged_Abundance.RPKs	SRR6915149_500K_merged_Abundance.RPKs	SRR6915150_500K_merged_Abundance.RPKs	SRR6915151_500K_merged_Abundance.RPKs	SRR6915152_500K_merged_Abundance.RPKs	SRR6915153_500K_merged_Abundance.RPKs	SRR6915155_500K_merged_Abundance.RPKs	SRR6915156_500K_merged_Abundance.RPKs	SRR6915167_500K_merged_Abundance.RPKs	SRR6915168_500K_merged_Abundance.RPKs	SRR6915169_500K_merged_Abundance.RPKs	SRR6915170_500K_merged_Abundance.RPKs	SRR6915171_500K_merged_Abundance.RPKs	SRR6915172_500K_merged_Abundance.RPKs	SRR6915173_500K_merged_Abundance.RPKs	SRR6915174_500K_merged_Abundance.RPKs	SRR6915175_500K_merged_Abundance.RPKs	SRR6915176_500K_merged_Abundance.RPKs	SRR6915177_500K_merged_Abundance.RPKs	SRR6915178_500K_merged_Abundance.RPKs	SRR6915179_500K_merged_Abundance.RPKs	SRR6915180_500K_merged_Abundance.RPKs	SRR6915181_500K_merged_Abundance.RPKs	SRR6915182_500K_merged_Abundance.RPKs	SRR6915183_500K_merged_Abundance.RPKs	SRR6915184_500K_merged_Abundance.RPKs	SRR6915185_500K_merged_Abundance.RPKs	SRR6915186_500K_merged_Abundance.RPKs	SRR6915195_500K_merged_Abundance.RPKs	SRR6915196_500K_merged_Abundance.RPKs	SRR6915197_500K_merged_Abundance.RPKs	SRR6915198_500K_merged_Abundance.RPKs	SRR6915199_500K_merged_Abundance.RPKs	SRR6915200_500K_merged_Abundance.RPKs
1.1.1.1	6.42212e-05	7.79242e-05	4.42474e-05	0.000201811	7.18794e-05	4.44864e-05	5.65947e-05	5.22492e-05	5.54623e-05	4.76709e-05	2.78924e-05	6.39956e-05	0.000170612	5.83505e-05	4.48309e-05	6.59823e-06	6.44457e-05	4.75849e-05	7.13275e-05	6.43688e-05	5.17883e-05	8.4904e-05	6.59209e-05	8.12964e-05	2.98066e-05	4.13871e-05	6.4484e-05	4.21711e-05	9.15132e-05	4.47474e-05	1.72375e-05	0.000102655	0.000111386	7.00046e-06	8.31922e-05	6.21511e-05	7.60289e-05	8.04665e-05	5.92034e-05	8.69246e-05	6.46266e-05	3.22094e-05	5.85374e-05	4.38079e-05	8.0844e-05	6.4347e-05	4.86118e-05	3.39109e-05	7.9349e-05	2.80175e-05	6.51694e-05	7.54452e-05	2.19705e-05	0.000105699	5.62498e-05	8.69606e-05	3.67631e-05	2.37523e-05
1.1.1.100	8.50759e-05	0.000148099	5.40954e-05	0.000269018	0.000155682	0.000185361	0.000233968	0.000159994	0.000235719	0.000178226	0.000177108	0.000190711	0.00023251	0.000166504	8.20894e-05	2.05985e-05	0.00012646	0.000117811	0.000202942	6.35329e-05	0.000127801	9.50012e-05	6.69617e-05	0.000129977	0.000124807	0.00016038	0.000215338	9.54508e-05	0.000248471	0.000134234	0.000248717	9.81948e-05	0.000138511	0.000133258	0.000144879	0.00024766	0.00027138	0.000109632	0.000191085	0.000154562	0.000165587	6.81306e-05	0.000210223	0.000228682	0.000163757	0.000237084	5.91664e-05	8.81106e-05	0.000185446	0.00010786	0.000213211	0.000118281	6.87945e-05	0.000168218	0.000188496	0.000148197	0.00013896	0.000102199
1.1.1.101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.103	1.5932520999999994e-05	2.39892e-05	1.10158e-05	0.000103979	1.1922e-05	1.03732e-05	6.68012e-06	3.57874e-05	1.51058e-05	7.46619e-06	5.03439e-05	1.7012809399999992e-05	8.55397e-05	4.29005e-05	1.6936829200000006e-05	1.4689674599999998e-05	3.36597e-05	2.1418e-05	3.10318e-05	4.84563e-05	1.67315728e-05	1.48937e-05	2.78924e-05	1.66566448e-05	1.48351e-05	1.7554475999999997e-05	3.24266e-05	6.76975e-06	7.06575e-06	1.6807304999999988e-05	2.47975e-05	7.97507e-06	3.33618e-05	1.42056e-05	3.26178e-05	6.97268e-06	4.51064e-05	4.92271e-05	2.55325e-05	1.9250147200000013e-05	2.6772e-05	5.14857e-06	1.7179601799999993e-05	4.02048e-05	4.5423e-05	8.48891e-05	4.99551e-05	9.90035e-06	1.75975746e-05	8.78096e-06	5.29605e-06	1.42606e-05	5.96124e-06	1.829e-05	8.4816e-06	3.3283e-05	8.20178e-06	1.00835e-05
1.1.1.105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.107	2.9367880205575723e-10	2.9367880205575723e-10	2.9367880205575723e-10	2.9367880205575723e-10	2.9367880205575723e-10	1.405368876526107e-10	2.9367880205575723e-10	2.9367880205575723e-10	2.9367880205575723e-10	2.9367880205575723e-10	2.9367880205575723e-10	2.9367880205575723e-10	2.9367880205575723e-10	2.9367880205575723e-10	2.9367880205575723e-10	2.9367880205575723e-10	2.9367880205575723e-10	2.9367880205575723e-10	2.9367880205575723e-10	2.9367880205575723e-10	2.9367880205575723e-10	5.557109202055753e-09	2.9367880205575723e-10	2.9367880205575723e-10	2.9367880205575723e-10	2.9367880205575723e-10	2.9367880205575723e-10	2.9367880205575723e-10	5.557109202055753e-09	2.9367880205575723e-10	2.9367880205575723e-10	2.9367880205575723e-10	2.9367880205575723e-10	2.9367880205575723e-10	3.1615686631282586e-09	2.9367880205575723e-10	2.9367880205575723e-10	2.9367880205575723e-10	2.9367880205575723e-10	2.2390086631282585e-09	2.9367880205575723e-10	2.9367880205575723e-10	2.9367880205575723e-10	3.1615686631282603e-09	2.6007114898532467e-08	2.9367880205575723e-10	2.9367880205575723e-10	2.9367880205575723e-10	2.9367880205575723e-10	2.9367880205575723e-10	2.9367880205575723e-10	2.9367880205575723e-10	2.9367880205575723e-10	2.9367880205575723e-10	2.9367880205575723e-10	2.9367880205575723e-10	2.9367880205575723e-10	2.9367880205575723e-10
1.1.1.108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.11	7.676352e-09	0.0	4.282040399999999e-08	1.3081632599999994e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0759512e-08	0.0	0.0	0.0	0.0	4.3831980000000005e-09	0.0	4.4773200000000004e-09	0.0	3.4821000000000002e-09	0.0	0.0	5.512524e-09	0.0	0.0	0.0	0.0	4.3831980000000005e-09	0.0	0.0	0.0	0.0	5.405125799999999e-08	0.0	0.0	0.0	1.3928400000000001e-08	1.6420931999999997e-08	0.0	0.0	0.0	4.793401800000001e-08	5.076328739999993e-07	0.0	0.0	0.0	0.0	1.129326e-09	0.0	0.0	0.0	0.0	0.0	3.4821000000000002e-09	0.0	0.0
1.1.1.121	0.0	0.0	0.0	0.0	0.0	3.05665142847618e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
